=============================================================================================================================================
GFS Model 7-day forecast for 44.8831,291.328
---------------------------------------------------------------------------------------------------------------------------------------------
This file generated by Climate Reanalyzer (http://cci-reanalyzer.org),
Climate Change Institute, University of Maine, USA (http://climatechange.umaine.edu)
=============================================================================================================================================
fhour YYYY MM DD HH T2 HI RH PRCP TCLD PWTR PMSL U10 V10 WS10
135 2014 04 21 15 10.95 10.95 10.95 47.80 0.00 21.00 8.10 1026.25 1.16 -1.14 1.63
138 2014 04 21 18 11.35 11.35 11.35 47.10 0.03 56.00 9.10 1024.83 1.72 0.73 1.87
141 2014 04 21 21 10.95 10.95 10.95 51.40 0.10 96.00 10.10 1023.93 1.72 2.89 3.36
144 2014 04 22 00 4.55 4.55 4.55 76.90 0.00 66.00 10.00 1024.79 1.27 3.29 3.53
147 2014 04 22 03 2.85 2.85 2.85 74.30 0.00 49.00 11.80 1024.39 0.48 2.52 2.57
150 2014 04 22 06 3.05 3.05 3.05 79.70 0.10 73.00 13.80 1023.33 0.32 2.04 2.06
153 2014 04 22 09 3.15 3.15 3.15 89.00 0.57 96.00 15.30 1022.78 -0.93 2.01 2.21
156 2014 04 22 12 5.55 5.55 5.55 87.30 0.59 98.00 16.30 1022.28 -0.34 3.26 3.28
159 2014 04 22 15 7.95 7.95 7.95 88.00 0.60 99.00 17.10 1021.01 1.01 4.41 4.52
162 2014 04 22 18 8.15 8.15 8.15 94.20 0.75 99.00 18.10 1019.01 1.18 4.22 4.38
165 2014 04 22 21 8.25 8.25 8.25 96.80 0.64 98.00 19.10 1017.11 0.88 3.30 3.42
168 2014 04 23 00 7.25 7.25 7.25 99.00 0.51 99.00 19.70 1016.52 0.64 3.09 3.16
171 2014 04 23 03 6.95 6.95 6.95 99.30 0.31 100.00 19.80 1015.66 1.20 2.42 2.70
174 2014 04 23 06 6.75 6.75 6.75 99.50 0.54 100.00 19.30 1014.09 1.44 1.51 2.09
177 2014 04 23 09 6.15 6.15 6.15 99.10 0.16 100.00 16.70 1013.60 1.54 -0.09 1.54
180 2014 04 23 12 9.15 9.15 9.15 87.80 0.08 67.00 14.00 1013.97 2.85 -0.63 2.92
183 2014 04 23 15 14.15 14.15 14.15 62.80 0.04 2.00 11.80 1014.06 3.88 -3.05 4.94
186 2014 04 23 18 16.25 16.25 16.25 42.90 0.05 2.00 11.50 1012.83 5.58 -2.81 6.25
189 2014 04 23 21 14.05 14.05 14.05 47.40 0.00 1.00 11.00 1012.95 6.02 -2.97 6.71
192 2014 04 24 00 7.75 7.75 7.75 71.40 0.00 4.00 9.10 1014.84 3.04 -1.22 3.28
